timestamp, frame, x, y, z, qx, qy, qz, qw, fx, fy, cx, cy, distortion_center_x, distortion_center_y
65764.237587125, 000000, 0.00091422483, -0.00022267927, -0.00021316137, 0.7245189, -0.6819134, 0.056320056, 0.08303306, 1581.1676, 1581.1676, 955.2852, 717.6346, , 
65764.254256208, 000001, 0.0013014065, -0.0003178715, -0.0006250923, 0.7243368, -0.6819146, 0.05711282, 0.08406381, 1581.1676, 1581.1676, 955.2852, 717.63525, , 
65764.270925583, 000002, 0.0016524047, -0.00037949905, -0.0011127088, 0.72421426, -0.6818198, 0.0582685, 0.08508986, 1581.1676, 1581.1676, 955.28534, 717.6354, , 
65764.320933125, 000003, 0.002135843, -0.001321055, -0.0035056602, 0.72311467, -0.682661, 0.058551252, 0.087469734, 1581.6195, 1581.6195, 955.28564, 717.6369, , 
65764.33760225, 000004, 0.0018613636, -0.001876533, -0.004702382, 0.7227785, -0.6829743, 0.05744638, 0.08852851, 1581.6195, 1581.6195, 955.286, 717.6372, , 
65764.370940583, 000005, 0.0028119236, -0.002096977, -0.0052356236, 0.72204834, -0.68328655, 0.0613983, 0.0894202, 1581.1676, 1581.1676, 955.2868, 717.63776, , 
65764.387609833, 000006, 0.0036010058, -0.0021284483, -0.0051519363, 0.72160554, -0.68354034, 0.063816875, 0.08936102, 1581.1676, 1581.1676, 955.2872, 717.6382, , 
65764.404279041, 000007, 0.004545212, -0.0021563768, -0.0049544126, 0.7211329, -0.68383425, 0.06627005, 0.089141905, 1581.1676, 1581.1676, 955.2874, 717.6388, , 
65764.437617458, 000008, 0.0053733885, -0.0050757043, -0.006919965, 0.7197837, -0.68463814, 0.07149067, 0.0898394, 1581.1676, 1581.1676, 955.2881, 717.63947, , 
65764.4542865, 000009, 0.0063341632, -0.005531203, -0.0066701937, 0.71959853, -0.68478376, 0.07346157, 0.08861518, 1581.1676, 1581.1676, 955.2882, 717.6394, , 
65764.487624958, 000010, 0.008775964, -0.005803913, -0.0054563805, 0.71888447, -0.68546724, 0.0769323, 0.0861465, 1581.6195, 1581.6195, 955.28845, 717.64, , 
65764.504294208, 000011, 0.010158367, -0.0058819205, -0.0049217977, 0.7182959, -0.6860135, 0.07845266, 0.08533278, 1581.6195, 1581.6195, 955.28845, 717.64105, , 
65764.520963208, 000012, 0.010248654, -0.008200549, -0.0058733504, 0.71846527, -0.68543434, 0.08141919, 0.08578092, 1581.6195, 1581.6195, 955.28845, 717.64264, , 
65764.554301708, 000013, 0.01163159, -0.010812584, -0.006740988, 0.71739787, -0.686257, 0.08505874, 0.084597625, 1581.1676, 1581.1676, 955.28845, 717.64636, , 
65764.570970833, 000014, 0.012823999, -0.011117507, -0.006604934, 0.71696657, -0.6865935, 0.086773984, 0.08377742, 1581.1676, 1581.1676, 955.2886, 717.6473, , 
65764.587640125, 000015, 0.014055058, -0.011258204, -0.0063741393, 0.71664333, -0.6868468, 0.08846334, 0.08269333, 1581.1676, 1581.1676, 955.2888, 717.64764, , 
65764.620978375, 000016, 0.013897204, -0.011262476, -0.008014439, 0.7164518, -0.6866092, 0.09458631, 0.07948513, 1582.9751, 1582.9751, 955.28906, 717.64734, , 
65764.637647583, 000017, 0.0131743075, -0.011294395, -0.0095934225, 0.71609855, -0.6866907, 0.09776581, 0.07810697, 1582.5233, 1582.5233, 955.28937, 717.64746, , 
65764.654316833, 000018, 0.0138077885, -0.011419546, -0.010357048, 0.7154724, -0.68702656, 0.10071755, 0.077134535, 1582.5233, 1582.5233, 955.28973, 717.6481, , 
65764.687655125, 000019, 0.016194746, -0.011756595, -0.011611706, 0.7137226, -0.68810475, 0.10656169, 0.07587206, 1584.7828, 1584.7828, 955.29065, 717.65125, , 
65764.704324375, 000020, 0.017532341, -0.011964425, -0.012343245, 0.7127381, -0.68875754, 0.10916114, 0.07550673, 1584.7828, 1584.7828, 955.291, 717.6531, , 
65764.720993541, 000021, 0.017414875, -0.012752391, -0.012960771, 0.7112391, -0.68981826, 0.11287526, 0.074491486, 1584.7828, 1584.7828, 955.2915, 717.65515, , 
65764.754331833, 000022, 0.01871027, -0.013787746, -0.01422191, 0.70951784, -0.69100106, 0.11778626, 0.07230768, 1587.4941, 1587.4941, 955.2922, 717.65894, , 
65764.771001083, 000023, 0.019863619, -0.014045656, -0.01487392, 0.7087688, -0.69152105, 0.120289825, 0.07053917, 1587.4941, 1587.4941, 955.2924, 717.6598, , 
65764.787670291, 000024, 0.021076031, -0.014246482, -0.015655633, 0.70800763, -0.69202185, 0.122958526, 0.06864522, 1587.4941, 1587.4941, 955.29254, 717.6607, , 
65764.821008625, 000025, 0.021492608, -0.0150474645, -0.018483259, 0.7049203, -0.69423985, 0.12952188, 0.065898634, 1589.7538, 1589.7538, 955.2932, 717.6624, , 
65764.837677791, 000026, 0.02127812, -0.015415933, -0.020231321, 0.70455927, -0.6941516, 0.13269831, 0.06434938, 1589.7538, 1589.7538, 955.2937, 717.66235, , 
65764.871016291, 000027, 0.022522248, -0.015278861, -0.02302131, 0.70439833, -0.69350433, 0.13873138, 0.06023625, 1592.0132, 1592.0132, 955.29474, 717.6588, , 
65764.887685541, 000028, 0.023350768, -0.015025776, -0.024236046, 0.7043996, -0.6930955, 0.14191791, 0.05743831, 1592.0132, 1592.0132, 955.2951, 717.6564, , 
65764.904354583, 000029, 0.024294868, -0.014754519, -0.025407132, 0.7042483, -0.692854, 0.14502299, 0.054369457, 1592.0132, 1592.0132, 955.2953, 717.6542, , 
65764.937693041, 000030, 0.026367785, -0.01533455, -0.028349375, 0.7033039, -0.6929098, 0.15146114, 0.047949046, 1594.7247, 1594.7247, 955.2954, 717.65234, , 
65764.954362208, 000031, 0.027758373, -0.015313413, -0.029761316, 0.7022981, -0.69343567, 0.15442435, 0.045579754, 1594.7247, 1594.7247, 955.29553, 717.6529, , 
65764.971031333, 000032, 0.029265655, -0.01521717, -0.031128695, 0.7011491, -0.69411314, 0.15721436, 0.043365885, 1594.7247, 1594.7247, 955.29565, 717.65485, , 
65765.004369708, 000033, 0.03229391, -0.0149097, -0.03337537, 0.6987221, -0.69572425, 0.16222483, 0.037922636, 1596.9843, 1596.9843, 955.2954, 717.65857, , 
65765.021038916, 000034, 0.034579687, -0.015009899, -0.034328338, 0.6975181, -0.6967166, 0.16401856, 0.03394764, 1596.9843, 1596.9843, 955.29486, 717.66144, , 
65765.037708, 000035, 0.036566652, -0.01501558, -0.03513124, 0.69601357, -0.6978944, 0.16605309, 0.030578049, 1596.9843, 1596.9843, 955.29425, 717.6643, , 
65765.054377208, 000036, 0.038264148, -0.014947653, -0.03588729, 0.6944123, -0.6992124, 0.16775452, 0.027423285, 1596.9843, 1596.9843, 955.2936, 717.66766, , 
65765.087715708, 000037, 0.04133948, -0.014723357, -0.03736835, 0.69125754, -0.7018455, 0.17057352, 0.021920193, 1599.2438, 1599.2438, 955.2923, 717.6767, , 
65765.104384958, 000038, 0.042711847, -0.014503967, -0.038070597, 0.6899652, -0.7028029, 0.17216589, 0.019367281, 1599.2438, 1599.2438, 955.2918, 717.67975, , 
65765.121054, 000039, 0.044912644, -0.015398696, -0.040584378, 0.6891424, -0.70317286, 0.17415334, 0.017361576, 1599.2438, 1599.2438, 955.2915, 717.6823, , 
65765.154392458, 000040, 0.047841094, -0.015625529, -0.043117534, 0.68766946, -0.7037965, 0.1778443, 0.012352684, 1601.5033, 1601.5033, 955.291, 717.68384, , 
65765.171061708, 000041, 0.048941165, -0.015363503, -0.043698225, 0.6870543, -0.70400554, 0.17955066, 0.00970516, 1601.5033, 1601.5033, 955.2908, 717.6842, , 
65765.187730708, 000042, 0.049997248, -0.01507061, -0.04413497, 0.6863921, -0.7042347, 0.1813009, 0.0070218295, 1601.5033, 1601.5033, 955.2904, 717.68463, , 
65765.221069166, 000043, 0.052961, -0.015514951, -0.047248926, 0.6854977, -0.7041691, 0.185033, 0.0012461477, 1603.7628, 1603.7628, 955.2901, 717.6856, , 
65765.237738416, 000044, 0.05413308, -0.015429612, -0.047698166, 0.68468946, -0.7043685, 0.18725282, -0.0013387965, 1603.7628, 1603.7628, 955.29, 717.6863, , 
65765.254407583, 000045, 0.055299416, -0.015335698, -0.047949925, 0.68389726, -0.7045313, 0.18948552, -0.0039269477, 1603.7628, 1603.7628, 955.28986, 717.68665, , 
65765.287745958, 000046, 0.05781971, -0.0152424835, -0.04818695, 0.68218344, -0.7049128, 0.19402233, -0.008893284, 1607.378, 1607.378, 955.28973, 717.6877, , 
65765.304415166, 000047, 0.06055528, -0.01624193, -0.05091694, 0.6819392, -0.704563, 0.19602245, -0.01118374, 1607.378, 1607.378, 955.28986, 717.6883, , 
65765.321084333, 000048, 0.06246285, -0.016637057, -0.051819243, 0.6809617, -0.7047208, 0.1987088, -0.013207262, 1607.378, 1607.378, 955.29, 717.6889, , 
65765.354422666, 000049, 0.06579366, -0.01700877, -0.051924214, 0.67930573, -0.70454407, 0.20455636, -0.017833892, 1598.7919, 1598.7919, 955.2904, 717.6884, , 
65765.371091833, 000050, 0.06756756, -0.017193016, -0.051637493, 0.6784315, -0.70435506, 0.20784806, -0.02034394, 1598.7919, 1598.7919, 955.29065, 717.6878, , 
65765.387761166, 000051, 0.0695266, -0.017433606, -0.051261827, 0.67734736, -0.70421106, 0.21159185, -0.02272037, 1598.7919, 1598.7919, 955.29114, 717.6871, , 
